976
552
0 2 4
0 3 66
0 4 83
0 6 59
0 7 61
0 8 56
0 9 36
0 10 5
0 11 20
0 12 62
0 13 57
0 14 63
0 15 34
0 16 60
0 17 100
0 18 90
0 19 81
0 20 57
0 22 14
0 23 64
0 24 4
0 25 36
0 27 64
0 28 7
0 29 98
0 30 48
0 31 81
0 32 98
0 33 57
0 34 49
0 36 81
0 37 95
0 38 84
0 39 21
0 40 78
0 41 80
0 42 82
0 43 38
0 44 33
0 45 89
0 46 72
0 47 23
0 48 64
0 49 49
0 51 60
0 52 62
0 53 61
0 54 23
0 55 26
0 56 69
0 57 27
0 58 11
0 59 91
0 60 85
0 61 72
0 62 51
0 63 64
0 64 5
0 66 69
0 67 65
0 68 75
0 70 88
0 71 10
0 72 43
0 73 95
0 74 14
0 75 32
0 76 79
0 77 19
0 78 15
0 79 88
0 80 77
0 81 5
0 82 83
0 83 23
0 84 6
0 85 10
0 87 75
0 88 13
0 89 67
0 90 51
0 91 27
0 92 4
0 93 3
0 94 57
0 95 48
0 96 70
0 97 92
0 98 83
0 99 11
0 100 10
0 101 79
0 102 45
0 103 22
0 104 11
0 105 39
0 106 68
0 107 53
0 108 30
0 109 33
0 110 54
0 111 97
0 112 48
0 113 55
0 114 61
0 115 25
0 116 3
0 117 25
0 118 26
0 119 31
0 120 43
0 121 99
0 122 95
0 123 12
0 124 61
0 125 2
0 126 70
0 127 46
0 128 100
0 129 62
0 130 56
0 131 78
0 134 37
0 137 25
0 138 66
0 139 48
0 140 47
0 141 2
0 142 41
0 143 51
0 144 71
0 145 9
0 146 31
0 147 85
0 148 2
0 149 56
0 150 40
0 151 13
0 152 34
0 153 82
0 154 89
0 155 26
0 157 43
0 158 25
0 159 66
0 160 87
0 161 24
0 162 23
0 163 3
0 164 1
0 165 99
0 166 2
0 167 85
0 168 26
0 169 71
0 170 60
0 171 4
0 172 68
0 173 52
0 174 15
0 175 81
0 176 32
0 177 85
0 178 30
0 179 11
0 180 37
0 181 7
0 182 43
0 183 64
0 184 89
0 185 54
0 187 74
0 188 94
0 189 77
0 190 95
0 191 48
0 192 29
0 193 63
0 194 59
0 195 100
0 196 44
0 197 34
0 198 27
0 199 52
0 200 78
0 201 64
0 202 81
0 203 74
0 204 65
0 205 49
0 206 78
0 207 83
0 209 54
0 210 1
0 211 82
0 212 61
0 213 11
0 215 63
0 216 83
0 217 18
0 218 74
0 219 81
0 220 53
0 223 39
0 224 16
0 225 78
0 226 25
0 227 15
0 228 18
0 229 26
0 230 23
0 231 39
0 232 1
0 233 4
0 234 52
0 235 31
0 236 13
0 237 21
0 238 3
0 239 77
0 240 94
0 241 43
0 242 23
0 243 28
0 244 95
0 245 32
0 246 59
0 247 39
0 248 93
0 249 64
0 250 35
0 251 9
0 252 90
0 253 5
0 254 14
0 255 87
0 256 21
0 257 19
0 258 1
0 259 42
0 260 70
0 261 9
0 262 24
0 263 63
0 264 36
0 265 28
0 266 41
0 267 29
0 268 26
0 269 7
0 270 48
0 271 87
0 272 65
0 273 9
0 274 97
0 275 42
0 276 65
0 277 81
0 278 55
0 279 83
0 280 55
0 281 80
0 282 3
0 283 70
0 284 46
0 285 23
0 287 91
0 288 15
0 289 49
0 290 54
0 291 52
0 292 63
0 293 34
0 294 11
0 295 52
0 296 59
0 297 69
0 298 74
0 299 44
0 300 59
0 301 51
0 302 31
0 303 6
0 304 48
0 305 95
0 306 10
0 307 16
0 308 27
0 309 18
0 310 7
0 311 68
0 312 23
0 313 18
0 314 94
0 315 29
0 316 57
0 317 87
0 318 80
0 319 70
0 320 47
0 321 96
0 322 39
0 323 75
0 324 5
0 325 61
0 326 88
0 328 15
0 329 64
0 331 100
0 332 33
0 333 83
0 334 20
0 335 2
0 336 81
0 337 24
0 339 30
0 340 93
0 341 23
0 342 3
0 343 34
0 344 63
0 345 35
0 346 27
0 347 79
0 348 10
0 349 19
0 350 41
0 351 47
0 352 5
0 353 98
0 354 20
0 356 64
0 357 64
0 358 93
0 359 10
0 360 25
0 361 32
0 362 35
0 363 24
0 364 46
0 366 39
0 367 71
0 368 38
0 369 96
0 370 62
0 371 100
0 372 63
0 373 9
0 374 94
0 376 90
0 377 99
0 378 36
0 379 100
0 380 12
0 381 58
0 382 51
0 385 98
0 386 50
0 387 46
0 388 42
0 389 78
0 390 38
0 391 20
0 393 89
0 395 71
