41
2
0 1 2
0 3 77
0 4 35
0 6 44
0 7 38
0 8 47
0 11 58
0 12 43
0 13 37
0 16 88
0 17 100
0 18 10
0 19 97
0 20 100
0 22 100
0 23 65
0 25 86
0 26 33
0 27 58
0 28 66
0 29 100
0 30 27
0 32 15
0 34 62
0 35 42
0 36 29
0 37 46
0 38 8
0 39 17
0 42 81
0 44 63
0 45 91
0 46 12
0 48 83
0 50 34
0 51 40
0 52 62
0 53 15
0 54 85
0 55 32
0 58 15
0 59 18
0 60 41
0 62 5
0 64 90
0 66 50
0 67 64
0 68 32
1 0 16
1 4 56
1 5 96
1 7 48
1 8 14
1 9 80
1 10 79
1 11 94
1 12 27
1 14 66
1 15 87
1 16 45
1 17 84
1 18 12
1 19 92
1 20 18
1 21 9
1 22 89
1 23 20
1 24 52
1 27 8
1 29 64
1 30 57
1 32 64
1 33 64
1 34 95
1 35 25
1 37 69
1 38 28
1 42 82
1 43 93
1 44 83
1 45 45
1 46 100
1 47 81
1 49 95
1 50 20
1 51 36
1 53 20
1 54 95
1 55 71
1 56 4
1 57 22
1 58 9
1 59 41
1 60 14
1 61 29
1 62 36
1 64 69
1 65 47
1 66 100
1 67 28
1 68 2
1 69 29
3 0 72
3 1 78
3 5 73
3 6 38
3 7 34
3 8 49
3 9 66
3 10 50
3 12 40
3 14 100
3 16 45
3 19 38
3 20 82
3 21 32
3 23 22
3 24 94
3 25 47
3 26 95
3 27 45
3 28 48
3 30 75
3 32 52
3 33 68
3 34 53
3 35 19
3 36 97
3 37 40
3 38 88
3 39 67
3 40 60
3 43 49
3 44 21
3 46 41
3 47 64
3 48 66
3 49 94
3 50 43
3 51 82
3 52 15
3 53 56
3 55 22
3 57 33
3 58 83
3 62 12
3 63 13
3 64 53
3 66 74
3 67 75
3 68 78
3 69 18
4 1 61
4 3 73
4 6 82
4 7 7
4 8 52
4 9 43
4 10 7
4 11 92
4 13 31
4 14 92
4 15 18
4 18 37
4 20 24
4 21 58
4 22 64
4 26 5
4 29 32
4 30 65
4 31 81
4 32 7
4 33 52
4 34 35
4 35 11
4 36 10
4 37 4
4 38 32
4 39 28
4 43 56
4 45 12
4 46 80
4 47 62
4 48 87
4 49 63
4 51 98
4 53 78
4 54 98
4 55 81
4 56 60
4 57 26
4 58 2
4 59 55
4 61 88
4 62 95
4 65 36
4 66 69
4 67 98
4 68 78
5 1 12
5 4 35
5 6 24
5 7 88
5 8 96
5 9 49
5 10 96
5 12 6
5 13 58
5 15 31
5 16 67
5 18 44
5 19 75
5 20 49
5 21 37
5 22 59
5 23 19
5 24 8
5 28 82
5 29 93
5 30 98
5 31 67
5 33 99
5 34 85
5 35 61
5 36 70
5 37 91
5 38 63
5 42 38
5 44 73
5 45 14
5 46 63
5 47 29
5 48 38
5 49 54
5 51 43
5 53 98
5 54 42
5 56 96
5 57 96
5 58 55
5 61 96
5 62 3
5 64 47
5 65 99
5 66 21
5 67 54
5 68 66
5 69 92
6 0 60
6 1 62
6 3 77
6 4 72
6 8 11
6 9 13
6 10 23
6 13 29
6 14 51
6 15 83
6 16 9
6 17 94
6 19 67
6 20 90
6 21 39
6 24 15
6 25 69
6 26 63
6 27 52
6 28 17
6 29 42
